"id","alias","descrip","other"
"JMJD7","","jumonji domain containing 7","jmjC domain-containing protein 7|jumonji domain-containing protein 7"
"HDAC5","HD5, NY-CO-9","histone deacetylase 5","antigen NY-CO-9"
"C17orf99","UNQ464","chromosome 17 open reading frame 99","GLPG464|uncharacterized protein C17orf99"
"LINC00029","C20orf51, NCRNA00029","long intergenic non-protein coding RNA 29","Putative uncharacterized protein C20orf51"
"LINC01056","","long intergenic non-protein coding RNA 1056",""
"EPHA5-AS1","","EPHA5 antisense RNA 1",""
"CHKB-AS1","","CHKB antisense RNA 1 (head to head)","CTA-384D8.20"
"LINC00930","","long intergenic non-protein coding RNA 930",""
"KLLN","CWS4, KILLIN","killin, p53-regulated DNA replication inhibitor","killin"
"LOC100147773","","uncharacterized LOC100147773",""
"PDCD6IP","AIP1, ALIX, DRIP4, HP95","programmed cell death 6 interacting protein","ALG-2 interacting protein 1|ALG-2-interacting protein X|PDCD6-interacting protein|apoptosis-linked gene 2-interacting protein X|dopamine receptor interacting protein 4|programmed cell death 6-interacting protein"
"PDCD6","ALG-2, ALG2, PEF1B","programmed cell death 6","apoptosis-linked gene 2 protein|probable calcium-binding protein ALG-2|programmed cell death protein 6"
"TEX36-AS1","","TEX36 antisense RNA 1",""
"PEG3-AS1","APEG3, NCRNA00155, PEG3-AS, PEG3AS","PEG3 antisense RNA 1","PEG3 antisense RNA (non-protein coding)|PEG3 antisense RNA 1 (non-protein coding)|antisense transcript gene of PEG3"
"DBIL5P2","ELP1P","diazepam binding inhibitor-like 5 pseudogene 2","endozepine-like peptide 1 pseudogene"
"SRRM5","ZNF576","serine/arginine repetitive matrix 5","serine/arginine repetitive matrix protein 5|zinc finger protein 576"
"ERICH4","C19orf69","glutamate-rich 4","glutamate-rich protein 4"
"C17orf96","PRR28","chromosome 17 open reading frame 96","Uncharacterized protein ENSP00000317905|proline rich 28|uncharacterized protein C17orf96"
"LOC100170939","","glucuronidase, beta pseudogene",""
"BCL2L10","BCL-B, Boo, Diva, bcl2-L-10","BCL2-like 10 (apoptosis facilitator)","anti-apoptotic protein NrH|apoptosis regulator Bcl-B|bcl-2-like protein 10|death inducer binding to vBcl-2 and Apaf-1"
"BCL2L11","BAM, BIM, BOD","BCL2-like 11 (apoptosis facilitator)","bcl-2 interacting mediator of cell death|bcl-2 interacting protein Bim|bcl-2-like protein 11|bcl-2-related ovarian death agonist"
"LINC00092","NCRNA00092, bA346B7.1","long intergenic non-protein coding RNA 92",""
"DCTN1-AS1","","DCTN1 antisense RNA 1","DCTN1 antisense RNA 1 (non-protein coding)"
"RAMP2-AS1","","RAMP2 antisense RNA 1","CTD-3193K9.7"
"TPT1-AS1","","TPT1 antisense RNA 1","TPT1 antisense RNA 1 (non-protein coding)"
"LOC100190986","","uncharacterized LOC100190986",""
"SH2B3","IDDM20, LNK","SH2B adaptor protein 3","SH2B adapter protein 3|lymphocyte-specific adapter protein Lnk|signal transduction protein Lnk"
"ZFHX4-AS1","","ZFHX4 antisense RNA 1","ZFHX4 antisense RNA 1 (non-protein coding)"
"PP12613","","uncharacterized LOC100192379",""
"FLJ16779","","uncharacterized LOC100192386",""
"GNE","DMRV, GLCNE, IBM2, NM, Uae1","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase","N-acylmannosamine kinase|UDP-GlcNAc-2-epimerase/ManAc kinase|UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase|UDP-N-acetylglucosamine-2-epimerase/N-acetylmannosamine kinase|bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase"
"CDH4","CAD4, R-CAD, RCAD","cadherin 4, type 1, R-cadherin (retinal)","R-cadherin|cadherin 4, type 1, preproprotein|cadherin-4|retinal cadherin"
"HCN4","SSS2","hyperpolarization activated cyclic nucleotide gated potassium channel 4","hyperpolarization activated cyclic nucleotide-gated cation channel 4|hyperpolarization activated cyclic nucleotide-gated potassium channel 4|potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4"
"FAR2P2","","fatty acyl CoA reductase 2 pseudogene 2",""
"KMT2E-AS1","","KMT2E antisense RNA 1 (head to head)",""
"LINC01004","","long intergenic non-protein coding RNA 1004",""
"INSL5","PRO182, UNQ156","insulin-like 5","insulin-like peptide 5|insulin-like peptide INSL5|prepro-INSL5"
"FRAT1","","frequently rearranged in advanced T-cell lymphomas 1","FRAT-1|proto-oncogene FRAT1"
"PCED1B-AS1","","PCED1B antisense RNA 1","PCED1B antisense RNA 1 (non-protein coding)"
"LOC100240726","","makorin ring finger protein 1 pseudogene",""
"LOC100240728","","uncharacterized LOC100240728",""
"LOC100240734","","uncharacterized LOC100240734",""
"TROAP","TASTIN","trophinin associated protein","tastin|trophinin assisting protein|trophinin-assisting protein (tastin)|trophinin-associated protein"
"MED16","DRIP92, THRAP5, TRAP95","mediator complex subunit 16","mediator of RNA polymerase II transcription subunit 16|thyroid hormone receptor-associated protein 5|thyroid hormone receptor-associated protein complex 95 kDa component|thyroid hormone receptor-associated protein, 95-kD subunit|vitamin D3 receptor-interacting protein complex 92 kDa component"
"PIGK","GPI8","phosphatidylinositol glycan anchor biosynthesis, class K","GPI transamidase subunit|GPI-anchor transamidase|GPI8 homolog|PIG-K|phosphatidylinositol glycan, class K|phosphatidylinositol-glycan biosynthesis class K protein"
"LOC100268168","","uncharacterized LOC100268168","CTC-308K20.1"
"CASC11","CARLo-7, LINC00990, TCONS_00014535","cancer susceptibility candidate 11 (non-protein coding)","long intergenic non-protein coding RNA 990"
"LOC100270804","","uncharacterized LOC100270804",""
"LINC00899","","long intergenic non-protein coding RNA 899",""
"LOC100271832","","uncharacterized LOC100271832",""
"LOC100271840","","uncharacterized LOC100271840",""
"CMC4","C6.1B, MTCP1, MTCP1B, MTCP1NB, p8, p8MTCP1","C-x(9)-C motif containing 4","C-x(9)-C motif containing 4 homolog|MTCP-1 type A|cx9C motif-containing protein 4|mature T-cell proliferation 1|mature T-cell proliferation 1 neighbor protein|mature T-cell proliferation-1 type A|protein p8 MTCP-1"
"LOC100272216","","uncharacterized LOC100272216",""
"LOC100272217","","uncharacterized LOC100272217",""
"LINC00894","","long intergenic non-protein coding RNA 894",""
"BCDIN3D-AS1","","BCDIN3D antisense RNA 1","BCDIN3D antisense RNA 1 (non-protein coding)"
"LOC100286895","","cell division cycle 27 homolog pseudogene","cell division cycle 27 homolog (S. cerevisiae) pseudogene"
"LOC100286909","","hypothetical protein LOC100286909",""
"LOC100286921","","hypothetical protein LOC100286921",""
"LOC100286922","","DnaJ (Hsp40) homolog, subfamily B, member 3 pseudogene",""
"LOC100286922","","DnaJ (Hsp40) homolog, subfamily B, member 3 pseudogene",""
"LOC100286925","","uncharacterized LOC100286925",""
"VPS13A-AS1","","VPS13A antisense RNA 1","VPS13A antisense RNA 1 (non-protein coding)"
"LOC100286987","","hypothetical protein LOC100286987",""
"HSPC081","","uncharacterized LOC100286989",""
"LOC100286993","","hypothetical LOC100286993",""
"LOC100286999","","hypothetical protein LOC100286999",""
"LOC100287005","","hypothetical LOC100287005",""
"LOC100287015","","uncharacterized LOC100287015",""
"LOC100287017","","hypothetical protein LOC100287017",""
"LOC100287024","","hypothetical protein LOC100287024",""
"LOC100287027","","similar to hCG2038690",""
"LOC100287030","","uncharacterized LOC100287030",""
"LOC100287035","","hypothetical protein LOC100287035",""
"LOC100287037","","similar to hCG1994484",""
"LOC100287039","","hypothetical protein LOC100287039",""
"LOC100287076","","similar to malignancy-associated protein",""
"LOC100287081","","similar to hCG1999172",""
"TONSL-AS1","","TONSL antisense RNA 1",""
"LOC100287105","","hypothetical protein LOC100287105",""
"LINC00421","","long intergenic non-protein coding RNA 421",""
"LOC100287166","","uncharacterized LOC100287166",""
"SH3RF3-AS1","","SH3RF3 antisense RNA 1","SH3RF3 antisense RNA 1 (non-protein coding)"
"LOC100287221","","uncharacterized LOC100287221",""
"TIPARP-AS1","","TIPARP antisense RNA 1","TIPARP antisense RNA 1 (non-protein coding)"
"LOC100287241","","hypothetical LOC100287241",""
"LOC100287249","","hypothetical protein LOC100287249",""
"LOC100287289","","hypothetical protein LOC100287289",""
"LOC100287290","","cytokine receptor CRL2",""
"LOC100287331","","hypothetical protein LOC100287331",""
"LOC100287349","","hypothetical protein LOC100287349",""
"OSTM1-AS1","","OSTM1 antisense RNA 1","OSTM1 antisense RNA 1 (non-protein coding)"
"IGHV3OR16-13","IGHV3OR1613","immunoglobulin heavy variable 3/OR16-13 (non-functional)","IGHV3/OR16-13"
"LOC100287387","","uncharacterized LOC100287387",""
"LOC100287401","","hypothetical protein LOC100287401",""
"LOC100287407","","hypothetical protein LOC100287407",""
"LOC100287411","","similar to proline-rich nuclear receptor coactivator 2",""
"LOC100287421","","hypothetical LOC100287421",""
"LOC100287426","","hypothetical protein LOC100287426",""
"PNMA6C","","paraneoplastic Ma antigen family member 6C","paraneoplastic antigen like 6C|paraneoplastic antigen-like 6A related protein|paraneoplastic antigen-like protein 6A related|paraneoplastic antigen-like protein 6C"
"LOC100287432","","similar to hCG2038535",""
"SMKR1","","small lysine-rich protein 1",""
"TCEB1P28","","transcription elongation factor B (SIII), polypeptide 1 pseudogene 28","transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C) pseudogene"
"LOC100287525","","uncharacterized LOC100287525",""
"LOC100287529","","hypothetical protein LOC100287529",""
"C20orf66","bA379F14.2","chromosome 20 open reading frame 66","putative uncharacterized protein C20orf66-like"
"LOC100287556","","similar to nuclear pore membrane protein 121",""
"LOC100287558","","uncharacterized LOC100287558",""
"LINC00173","NCRNA00173","long intergenic non-protein coding RNA 173",""
"LOC100287572","","similar to hCG1996962",""
"LOC100287576","","uncharacterized LOC100287576",""
"LOC100287584","","hypothetical protein LOC100287584",""
"LOC100287587","","hypothetical protein LOC100287587",""
"LOC100287590","","uncharacterized LOC100287590",""
"LOC100287598","","uncharacterized LOC100287598",""
"LOXL1-AS1","","LOXL1 antisense RNA 1","LOXL1 antisense RNA 1 (non-protein coding)"
"LOC100287621","","hypothetical protein LOC100287621",""
"LOC100287627","","similar to hCG1997308",""
"LOC100287628","","uncharacterized LOC100287628",""
"LOC100287676","","hypothetical protein LOC100287676",""
"LOC100287689","","similar to hCG1790188",""
"LOC100287696","","similar to ring finger protein 181",""
"LOC100287704","","uncharacterized LOC100287704",""
"LOC100287807","","hypothetical LOC100287807",""
"LOC100287808","","uncharacterized LOC100287808","CTB-58E17.5"
"LOC100287813","","uncharacterized LOC100287813",""
"LINC00582","","long intergenic non-protein coding RNA 582",""
"LOC100287864","","hypothetical protein LOC100287864",""
"LOC100287877","","uncharacterized LOC100287877",""
"LOC100287896","","uncharacterized LOC100287896",""
"LGALS8-AS1","","LGALS8 antisense RNA 1","LGALS8 antisense RNA 1 (non-protein coding)"
"LOC100287911","","similar to hCG2024922",""
"LOC100287927","","hypothetical LOC100287927",""
"TIMM23","TIM23","translocase of inner mitochondrial membrane 23 homolog (yeast)","mitochondrial import inner membrane translocase subunit Tim23"
"LOC100287951","","dynein, light chain, Tctex-type 1 pseudogene",""
"LOC100288009","","hypothetical protein LOC100288009",""
"LOC100288092","","uncharacterized LOC100288092",""
"LOC100288099","","hypothetical protein LOC100288099",""
"LOC100288104","","hypothetical protein LOC100288104",""
"LOC100288123","","uncharacterized LOC100288123",""
"PIH2","","pregnancy-induced hypertension syndrome-related protein",""
"LOC100288152","","uncharacterized LOC100288152",""
"LOC100288181","","uncharacterized LOC100288181","CTD-2292P10.4"
"LOC100288194","","hypothetical protein LOC100288194",""
"HMGN3-AS1","","HMGN3 antisense RNA 1",""
"LOC100288221","","hypothetical protein LOC100288221",""
"LOC100288224","","hypothetical protein LOC100288224",""
"LOC100288238","","uncharacterized LOC100288238",""
"LOC100288271","","hypothetical LOC100288271",""
"LOC100288282","","hypothetical protein LOC100288282",""
"LOC100288294","","hypothetical protein LOC100288294",""
"HSPC088","","hypothetical LOC100288313",""
"LOC100288320","","hypothetical protein LOC100288320",""
"LOC100288412","","hypothetical protein LOC100288412",""
"ERVMER34-1","","endogenous retrovirus group MER34, member 1","HERV-MER_4q12 provirus ancestral Env polyprotein|LP9056 protein|endogenous retrovirus group MER34 member 1 Env polyprotein"
"IL10RB-AS1","IFNAR2-AS1","IL10RB antisense RNA 1 (head to head)","IFNAR2 antisense RNA 1"
"LOC100288438","","hypothetical protein LOC100288438",""
"LOC100288447","","hypothetical protein LOC100288447",""
"LOC100288490","","uncharacterized LOC100288490",""
"LOC100288507","","hypothetical protein LOC100288507",""
"LOC100288525","","hypothetical protein LOC100288525",""
"LOC100288590","","cutaneous T-cell lymphoma-associated antigen 1 pseudogene",""
"LOC100288594","","uncharacterized LOC100288594",""
"LOC100288617","","hypothetical protein LOC100288617",""
"LOC100288618","","hypothetical protein LOC100288618",""
"LOC100288656","","ankyrin repeat domain 20 family, member A2 pseudogene",""
"LOC100288673","","hypothetical LOC100288673",""
"LOC100288675","","uncharacterized LOC100288675",""
"C13orf41","","chromosome 13 open reading frame 41",""
"LOC100288685","","hypothetical protein LOC100288685",""
"LOC100288693","","hypothetical protein LOC100288693",""
"LOC100288701","","hypothetical protein LOC100288701",""
"LOC100288721","","uncharacterized LOC100288721",""
"PAN3-AS1","","PAN3 antisense RNA 1","PAN3 antisense RNA 1 (non-protein coding)"
"LOC100288745","","hypothetical protein LOC100288745",""
"LOC100288781","","uncharacterized LOC100288781",""
"TMEM239","","transmembrane protein 239",""
"LOC100288798","","uncharacterized LOC100288798",""
"HYDIN2","HYDINP1","HYDIN2, axonemal central pair apparatus protein (pseudogene)","HYDIN, axonemal central pair apparatus protein pseudogene 1|hydrocephalus inducing homolog 2"
"LOC100288810","","hypothetical protein LOC100288810",""
"LOC100288860","","uncharacterized LOC100288860",""
"LOC100288893","","uncharacterized LOC100288893",""
"LOC100288911","","uncharacterized LOC100288911",""
"LOC100288939","","hypothetical LOC100288939",""
"LOC100288954","","hypothetical LOC100288954",""
"LOC100288968","","hypothetical protein LOC100288968",""
"LOC100288985","","hypothetical protein LOC100288985",""
"SLC25A25-AS1","","SLC25A25 antisense RNA 1",""
"LOC100289026","","uncharacterized LOC100289026",""
"LOC100289045","","uncharacterized LOC100289045",""
"LOC100289049","","hypothetical protein LOC100289049",""
"LOC100289058","","uncharacterized LOC100289058",""
"LOC100289061","","uncharacterized LOC100289061",""
"LOC100289070","","hypothetical protein LOC100289070",""
"LOC100289071","","similar to hCG2036912",""
"LOC100289079","","60S ribosomal protein L36-like",""
"LOC100289084","","similar to mitochondrial ribosomal protein L42",""
"LOC100289086","","hypothetical protein LOC100289086",""
"LOC100289090","","uncharacterized LOC100289090",""
"GS1-124K5.4","","uncharacterized LOC100289098",""
"LOC100289109","","hypothetical LOC100289109",""
"LOC100289210","","hypothetical protein LOC100289210",""
"LOC100289230","","uncharacterized LOC100289230",""
"LOC100289251","","uncharacterized LOC100289251",""
"LOC100289294","","hypothetical protein LOC100289294",""
"LOC100289297","","hypothetical protein LOC100289297",""
"LOC100289312","","hypothetical protein LOC100289312",""
"LOC100289333","","uncharacterized LOC100289333","CTD-2666L21.1"
"LOC100289336","","hypothetical protein LOC100289336",""
"MAN1B1-AS1","","MAN1B1 antisense RNA 1 (head to head)",""
"LOC100289361","","uncharacterized LOC100289361",""
"LOC100289366","","hypothetical protein LOC100289366",""
"UBAC2-AS1","","UBAC2 antisense RNA 1","UBAC2 antisense RNA 1 (non-protein coding)"
"MCF2L-AS1","","MCF2L antisense RNA 1","MCF2L antisense RNA 1 (non-protein coding)"
"LOC100289436","","hypothetical protein LOC100289436",""
"LOC100289465","","similar to serologically defined breast cancer antigen NY-BR-40",""
"LOC100289508","","hypothetical protein LOC100289508",""
"KCNIP2-AS1","","KCNIP2 antisense RNA 1",""
"LOC100289550","","similar to hCG1724266",""
"LOC100289610","","mesenchymal stem cell protein DSC96",""
"LOC100289632","","hypothetical protein LOC100289632",""
"ZNF605","","zinc finger protein 605",""
"LOC100289641","","hypothetical protein LOC100289641",""
"ZNF783","","zinc finger family member 783","protein ZNF783"
"LOC100290070","","ATP-sensitive inward rectifier potassium channel 12-like",""
"LOC100290278","","similar to homer homolog 2",""
"LINC00942","","long intergenic non-protein coding RNA 942",""
"LOC100292863","","similar to erlectin",""
"LOC100292909","","uncharacterized LOC100292909",""
"LOC100293553","","protein L-Myc-2-like",""
"LOC100293559","","similar to hCG1812074",""
"LOC100294145","","uncharacterized LOC100294145",""
"LOC100294362","","uncharacterized LOC100294362","CTD-2047H16.4"
"NHEG1","","neuroblastoma highly expressed 1",""
